MINIMAX: Boss=(44, 36), Player=(6, 35), Choice=('MOVE', (43, 36))
MINIMAX: Boss=(13, 34), Player=(20, 36), Choice=('MOVE', (14, 34))
MINIMAX: Boss=(14, 34), Player=(16, 36), Choice=('MOVE', (15, 34))
MINIMAX: Boss=(15, 34), Player=(21, 36), Choice=('MOVE', (16, 34))
MINIMAX: Boss=(16, 34), Player=(25, 36), Choice=('MOVE', (17, 34))
MINIMAX: Boss=(17, 34), Player=(25, 36), Choice=('MOVE', (18, 34))
MINIMAX: Boss=(18, 34), Player=(20, 36), Choice=('MOVE', (19, 34))
MINIMAX: Boss=(19, 34), Player=(16, 36), Choice=('MOVE', (18, 34))
MINIMAX: Boss=(18, 34), Player=(11, 36), Choice=('MOVE', (17, 34))
MINIMAX: Boss=(17, 34), Player=(7, 36), Choice=('MOVE', (16, 34))
MINIMAX: Boss=(16, 34), Player=(7, 36), Choice=('MOVE', (15, 34))
MINIMAX: Boss=(15, 34), Player=(4, 30), Choice=('MOVE', (14, 34))
MINIMAX: Boss=(14, 34), Player=(4, 32), Choice=('MOVE', (13, 34))
MINIMAX: Boss=(13, 34), Player=(4, 36), Choice=('MOVE', (12, 34))
MINIMAX: Boss=(12, 34), Player=(4, 36), Choice=('MOVE', (11, 34))
MINIMAX: Boss=(11, 34), Player=(6, 36), Choice=('MOVE', (10, 34))
MINIMAX: Boss=(10, 34), Player=(6, 36), Choice=('MOVE', (9, 34))
MINIMAX: Boss=(9, 34), Player=(2, 36), Choice=('MOVE', (8, 34))
MINIMAX: Boss=(8, 34), Player=(2, 36), Choice=('MOVE', (7, 34))
MINIMAX: Boss=(7, 34), Player=(2, 30), Choice=('MOVE', (6, 34))
MINIMAX: Boss=(6, 34), Player=(4, 25), Choice=('MOVE', (6, 33))
MINIMAX: Boss=(6, 33), Player=(9, 29), Choice=('MOVE', (6, 32))
MINIMAX: Boss=(6, 32), Player=(13, 29), Choice=('MOVE', (6, 31))
MINIMAX: Boss=(6, 31), Player=(11, 29), Choice=('MOVE', (7, 30))
MINIMAX: Boss=(7, 30), Player=(11, 29), Choice=('MOVE', (8, 29))
MINIMAX: Boss=(8, 29), Player=(11, 29), Choice=('MOVE', (9, 29))
MINIMAX: Boss=(9, 29), Player=(7, 29), Choice=ATTACK
MINIMAX: Boss=(9, 29), Player=(3, 34), Choice=('MOVE', (8, 29))
MINIMAX: Boss=(8, 29), Player=(2, 36), Choice=('MOVE', (7, 30))
MINIMAX: Boss=(7, 30), Player=(3, 36), Choice=('MOVE', (7, 31))
MINIMAX: Boss=(7, 31), Player=(8, 36), Choice=('MOVE', (7, 32))
MINIMAX: Boss=(7, 32), Player=(13, 36), Choice=('MOVE', (8, 32))
MINIMAX: Boss=(8, 32), Player=(17, 36), Choice=('MOVE', (9, 32))
MINIMAX: Boss=(9, 32), Player=(22, 36), Choice=('MOVE', (10, 32))
MINIMAX: Boss=(10, 32), Player=(25, 32), Choice=('MOVE', (11, 32))
MINIMAX: Boss=(11, 32), Player=(25, 30), Choice=('MOVE', (12, 32))
MINIMAX: Boss=(12, 32), Player=(28, 27), Choice=('MOVE', (13, 32))
MINIMAX: Boss=(13, 32), Player=(32, 32), Choice=('MOVE', (14, 32))
MINIMAX: Boss=(14, 32), Player=(36, 36), Choice=('MOVE', (15, 32))
MINIMAX: Boss=(15, 32), Player=(33, 36), Choice=('MOVE', (16, 32))
MINIMAX: Boss=(16, 32), Player=(29, 32), Choice=('MOVE', (17, 32))
MINIMAX: Boss=(17, 32), Player=(30, 25), Choice=('MOVE', (18, 32))
MINIMAX: Boss=(18, 32), Player=(35, 24), Choice=('MOVE', (19, 32))
MINIMAX: Boss=(19, 32), Player=(37, 29), Choice=('MOVE', (20, 32))
MINIMAX: Boss=(20, 32), Player=(36, 29), Choice=('MOVE', (21, 32))
MINIMAX: Boss=(21, 32), Player=(36, 29), Choice=('MOVE', (22, 32))
MINIMAX: Boss=(22, 32), Player=(40, 29), Choice=('MOVE', (23, 32))
MINIMAX: Boss=(23, 32), Player=(39, 29), Choice=('MOVE', (24, 32))
MINIMAX: Boss=(24, 32), Player=(39, 29), Choice=('MOVE', (25, 32))
MINIMAX: Boss=(25, 32), Player=(41, 29), Choice=('MOVE', (26, 32))
MINIMAX: Boss=(26, 32), Player=(36, 29), Choice=('MOVE', (27, 32))
MINIMAX: Boss=(27, 32), Player=(32, 29), Choice=('MOVE', (28, 32))
MINIMAX: Boss=(28, 32), Player=(27, 36), Choice=('MOVE', (28, 33))
MINIMAX: Boss=(28, 33), Player=(22, 36), Choice=('MOVE', (27, 33))
MINIMAX: Boss=(27, 33), Player=(18, 36), Choice=('MOVE', (26, 33))
MINIMAX: Boss=(26, 33), Player=(18, 36), Choice=('MOVE', (25, 33))
MINIMAX: Boss=(25, 33), Player=(18, 36), Choice=('MOVE', (24, 33))
MINIMAX: Boss=(24, 33), Player=(16, 36), Choice=('MOVE', (23, 33))
MINIMAX: Boss=(23, 33), Player=(16, 36), Choice=('MOVE', (22, 33))
MINIMAX: Boss=(22, 33), Player=(12, 36), Choice=('MOVE', (21, 33))
MINIMAX: Boss=(21, 33), Player=(8, 36), Choice=('MOVE', (20, 33))
MINIMAX: Boss=(20, 33), Player=(4, 36), Choice=('MOVE', (19, 33))
MINIMAX: Boss=(19, 33), Player=(6, 32), Choice=('MOVE', (18, 33))
MINIMAX: Boss=(18, 33), Player=(4, 30), Choice=('MOVE', (17, 33))
MINIMAX: Boss=(17, 33), Player=(8, 36), Choice=('MOVE', (16, 33))
MINIMAX: Boss=(16, 33), Player=(6, 36), Choice=('MOVE', (15, 33))
MINIMAX: Boss=(15, 33), Player=(2, 30), Choice=('MOVE', (14, 33))
MINIMAX: Boss=(14, 33), Player=(6, 32), Choice=('MOVE', (13, 33))
MINIMAX: Boss=(13, 33), Player=(9, 36), Choice=('MOVE', (12, 33))
MINIMAX: Boss=(12, 33), Player=(6, 36), Choice=('MOVE', (11, 33))
MINIMAX: Boss=(11, 33), Player=(11, 35), Choice=('MOVE', (11, 34))
MINIMAX: Boss=(11, 34), Player=(6, 36), Choice=('MOVE', (10, 34))
MINIMAX: Boss=(10, 34), Player=(2, 34), Choice=('MOVE', (9, 34))
MINIMAX: Boss=(9, 34), Player=(5, 29), Choice=WAIT
MINIMAX: Boss=(9, 34), Player=(8, 28), Choice=('MOVE', (9, 33))
MINIMAX: Boss=(9, 33), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(9, 33), Player=(15, 29), Choice=('MOVE', (10, 33))
MINIMAX: Boss=(10, 33), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(10, 33), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(10, 33), Player=(10, 29), Choice=('MOVE', (9, 32))
MINIMAX: Boss=(9, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(9, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(9, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(9, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(9, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(9, 32), Player=(15, 29), Choice=('MOVE', (10, 32))
MINIMAX: Boss=(10, 32), Player=(14, 29), Choice=('MOVE', (11, 32))
MINIMAX: Boss=(11, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(11, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(11, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(15, 29), Choice=('MOVE', (12, 32))
MINIMAX: Boss=(12, 32), Player=(19, 32), Choice=('MOVE', (13, 32))
MINIMAX: Boss=(13, 32), Player=(15, 36), Choice=('MOVE', (13, 33))
MINIMAX: Boss=(13, 33), Player=(13, 35), Choice=('MOVE', (13, 34))
MINIMAX: Boss=(13, 34), Player=(13, 36), Choice=('MOVE', (13, 35))
MINIMAX: Boss=(13, 35), Player=(13, 36), Choice=ATTACK
MINIMAX: Boss=(13, 35), Player=(13, 36), Choice=('MOVE', (13, 34))
MINIMAX: Boss=(13, 34), Player=(12, 36), Choice=('MOVE', (12, 34))
MINIMAX: Boss=(12, 34), Player=(7, 36), Choice=('MOVE', (11, 34))
MINIMAX: Boss=(11, 34), Player=(2, 32), Choice=('MOVE', (10, 34))
MINIMAX: Boss=(10, 34), Player=(5, 30), Choice=('MOVE', (9, 34))
MINIMAX: Boss=(9, 34), Player=(6, 26), Choice=('MOVE', (9, 33))
MINIMAX: Boss=(9, 33), Player=(11, 29), Choice=('MOVE', (9, 32))
MINIMAX: Boss=(9, 32), Player=(16, 29), Choice=('MOVE', (10, 32))
MINIMAX: Boss=(10, 32), Player=(15, 29), Choice=('MOVE', (11, 32))
MINIMAX: Boss=(11, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(10, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(11, 29), Choice=WAIT
MINIMAX: Boss=(11, 32), Player=(15, 29), Choice=('MOVE', (12, 32))
MINIMAX: Boss=(12, 32), Player=(20, 32), Choice=('MOVE', (13, 32))
MINIMAX: Boss=(13, 32), Player=(25, 36), Choice=('MOVE', (14, 32))
MINIMAX: Boss=(14, 32), Player=(25, 36), Choice=('MOVE', (15, 32))
MINIMAX: Boss=(15, 32), Player=(25, 29), Choice=('MOVE', (16, 32))
MINIMAX: Boss=(16, 32), Player=(30, 28), Choice=('MOVE', (17, 32))
MINIMAX: Boss=(17, 32), Player=(32, 27), Choice=('MOVE', (18, 32))
MINIMAX: Boss=(18, 32), Player=(36, 23), Choice=('MOVE', (19, 32))
MINIMAX: Boss=(19, 32), Player=(39, 17), Choice=('MOVE', (20, 32))
MINIMAX: Boss=(20, 32), Player=(39, 21), Choice=('MOVE', (21, 32))
MINIMAX: Boss=(21, 32), Player=(43, 21), Choice=('MOVE', (22, 32))
MINIMAX: Boss=(22, 32), Player=(45, 21), Choice=('MOVE', (23, 32))
MINIMAX: Boss=(23, 32), Player=(43, 21), Choice=('MOVE', (24, 32))
MINIMAX: Boss=(24, 32), Player=(46, 21), Choice=('MOVE', (25, 32))
MINIMAX: Boss=(25, 32), Player=(46, 21), Choice=('MOVE', (26, 32))
MINIMAX: Boss=(26, 32), Player=(46, 21), Choice=('MOVE', (27, 32))
MINIMAX: Boss=(27, 32), Player=(46, 21), Choice=('MOVE', (28, 32))
MINIMAX: Boss=(28, 32), Player=(46, 21), Choice=('MOVE', (29, 31))
MINIMAX: Boss=(29, 31), Player=(46, 21), Choice=('MOVE', (30, 30))
MINIMAX: Boss=(30, 30), Player=(46, 21), Choice=('MOVE', (31, 29))
MINIMAX: Boss=(31, 29), Player=(46, 21), Choice=('MOVE', (32, 28))
MINIMAX: Boss=(32, 28), Player=(45, 21), Choice=('MOVE', (33, 27))
MINIMAX: Boss=(33, 27), Player=(44, 21), Choice=('MOVE', (34, 26))
MINIMAX: Boss=(34, 26), Player=(44, 21), Choice=('MOVE', (35, 25))
MINIMAX: Boss=(35, 25), Player=(47, 21), Choice=('MOVE', (36, 24))
MINIMAX: Boss=(36, 24), Player=(44, 21), Choice=('MOVE', (37, 23))
MINIMAX: Boss=(37, 23), Player=(44, 21), Choice=('MOVE', (38, 22))
MINIMAX: Boss=(38, 22), Player=(43, 21), Choice=('MOVE', (39, 21))
MINIMAX: Boss=(39, 21), Player=(38, 21), Choice=ATTACK
MINIMAX: Boss=(39, 21), Player=(36, 26), Choice=('MOVE', (38, 22))
MINIMAX: Boss=(38, 22), Player=(36, 29), Choice=('MOVE', (38, 23))
MINIMAX: Boss=(38, 23), Player=(40, 29), Choice=('MOVE', (38, 24))
MINIMAX: Boss=(38, 24), Player=(36, 29), Choice=('MOVE', (38, 25))
MINIMAX: Boss=(38, 25), Player=(31, 29), Choice=('MOVE', (37, 25))
MINIMAX: Boss=(37, 25), Player=(27, 36), Choice=WAIT
MINIMAX: Boss=(37, 25), Player=(22, 36), Choice=('MOVE', (36, 25))
MINIMAX: Boss=(36, 25), Player=(24, 36), Choice=('MOVE', (35, 25))
MINIMAX: Boss=(35, 25), Player=(22, 36), Choice=('MOVE', (34, 25))
MINIMAX: Boss=(34, 25), Player=(18, 36), Choice=('MOVE', (33, 25))
MINIMAX: Boss=(33, 25), Player=(21, 33), Choice=('MOVE', (32, 25))
MINIMAX: Boss=(32, 25), Player=(17, 28), Choice=('MOVE', (31, 25))
MINIMAX: Boss=(31, 25), Player=(15, 23), Choice=('MOVE', (30, 25))
MINIMAX: Boss=(30, 25), Player=(12, 29), Choice=('MOVE', (29, 25))
MINIMAX: Boss=(29, 25), Player=(13, 29), Choice=('MOVE', (28, 25))
MINIMAX: Boss=(28, 25), Player=(12, 29), Choice=('MOVE', (27, 25))
MINIMAX: Boss=(27, 25), Player=(12, 29), Choice=('MOVE', (26, 25))
MINIMAX: Boss=(26, 25), Player=(12, 23), Choice=('MOVE', (25, 25))
MINIMAX: Boss=(25, 25), Player=(12, 17), Choice=('MOVE', (24, 25))
MINIMAX: Boss=(24, 25), Player=(7, 21), Choice=('MOVE', (23, 25))
MINIMAX: Boss=(23, 25), Player=(7, 21), Choice=('MOVE', (22, 25))
MINIMAX: Boss=(22, 25), Player=(9, 21), Choice=('MOVE', (21, 25))
MINIMAX: Boss=(21, 25), Player=(6, 21), Choice=('MOVE', (20, 25))
MINIMAX: Boss=(20, 25), Player=(9, 21), Choice=('MOVE', (19, 25))
MINIMAX: Boss=(19, 25), Player=(6, 21), Choice=('MOVE', (18, 25))
MINIMAX: Boss=(18, 25), Player=(9, 21), Choice=('MOVE', (17, 25))
MINIMAX: Boss=(17, 25), Player=(7, 21), Choice=('MOVE', (16, 25))
MINIMAX: Boss=(16, 25), Player=(10, 21), Choice=('MOVE', (15, 25))
MINIMAX: Boss=(15, 25), Player=(8, 21), Choice=('MOVE', (14, 25))
MINIMAX: Boss=(14, 25), Player=(6, 21), Choice=('MOVE', (13, 24))
MINIMAX: Boss=(13, 24), Player=(7, 21), Choice=('MOVE', (12, 23))
MINIMAX: Boss=(12, 23), Player=(9, 21), Choice=('MOVE', (11, 22))
MINIMAX: Boss=(11, 22), Player=(8, 21), Choice=('MOVE', (10, 21))
MINIMAX: Boss=(44, 36), Player=(6, 35), Choice=('MOVE', (43, 36))
MINIMAX: Boss=(43, 36), Player=(6, 36), Choice=('MOVE', (42, 36))
MINIMAX: Boss=(42, 36), Player=(10, 36), Choice=('MOVE', (41, 36))
MINIMAX: Boss=(41, 36), Player=(9, 36), Choice=('MOVE', (40, 36))
MINIMAX: Boss=(40, 36), Player=(5, 36), Choice=('MOVE', (39, 36))
MINIMAX: Boss=(39, 36), Player=(2, 36), Choice=('MOVE', (38, 36))
MINIMAX: Boss=(38, 36), Player=(2, 36), Choice=('MOVE', (37, 36))
MINIMAX: Boss=(37, 36), Player=(2, 27), Choice=('MOVE', (36, 36))
MINIMAX: Boss=(36, 36), Player=(7, 29), Choice=('MOVE', (35, 36))
MINIMAX: Boss=(35, 36), Player=(11, 29), Choice=('MOVE', (34, 36))
MINIMAX: Boss=(34, 36), Player=(15, 29), Choice=('MOVE', (33, 36))
MINIMAX: Boss=(33, 36), Player=(20, 32), Choice=('MOVE', (32, 36))
MINIMAX: Boss=(32, 36), Player=(24, 33), Choice=('MOVE', (31, 36))
MINIMAX: Boss=(31, 36), Player=(24, 30), Choice=('MOVE', (30, 36))
MINIMAX: Boss=(30, 36), Player=(24, 36), Choice=('MOVE', (29, 36))
MINIMAX: Boss=(29, 36), Player=(28, 36), Choice=ATTACK
MINIMAX: Boss=(29, 36), Player=(28, 36), Choice=('MOVE', (28, 36))
MINIMAX: Boss=(28, 36), Player=(23, 36), Choice=('MOVE', (27, 36))
MINIMAX: Boss=(27, 36), Player=(19, 36), Choice=('MOVE', (26, 36))
MINIMAX: Boss=(26, 36), Player=(18, 36), Choice=('MOVE', (25, 36))
MINIMAX: Boss=(25, 36), Player=(19, 29), Choice=WAIT
MINIMAX: Boss=(25, 36), Player=(16, 36), Choice=('MOVE', (24, 36))
MINIMAX: Boss=(24, 36), Player=(15, 36), Choice=('MOVE', (23, 36))
MINIMAX: Boss=(23, 36), Player=(17, 36), Choice=('MOVE', (22, 36))
MINIMAX: Boss=(22, 36), Player=(17, 29), Choice=('MOVE', (22, 35))
MINIMAX: Boss=(22, 35), Player=(16, 36), Choice=('MOVE', (21, 35))
MINIMAX: Boss=(21, 35), Player=(12, 36), Choice=('MOVE', (20, 35))
MINIMAX: Boss=(20, 35), Player=(7, 36), Choice=('MOVE', (19, 35))
MINIMAX: Boss=(19, 35), Player=(10, 36), Choice=('MOVE', (18, 35))
MINIMAX: Boss=(18, 35), Player=(14, 36), Choice=('MOVE', (17, 35))
MINIMAX: Boss=(17, 35), Player=(19, 36), Choice=ATTACK
MINIMAX: Boss=(17, 35), Player=(14, 36), Choice=('MOVE', (16, 35))
MINIMAX: Boss=(16, 35), Player=(11, 36), Choice=('MOVE', (15, 35))
MINIMAX: Boss=(15, 35), Player=(11, 36), Choice=('MOVE', (14, 35))
MINIMAX: Boss=(14, 35), Player=(16, 36), Choice=('MOVE', (15, 34))
MINIMAX: Boss=(15, 34), Player=(21, 36), Choice=('MOVE', (16, 34))
MINIMAX: Boss=(16, 34), Player=(23, 36), Choice=('MOVE', (17, 34))
MINIMAX: Boss=(17, 34), Player=(19, 36), Choice=('MOVE', (18, 34))
MINIMAX: Boss=(18, 34), Player=(14, 36), Choice=('MOVE', (17, 34))
MINIMAX: Boss=(17, 34), Player=(9, 36), Choice=('MOVE', (16, 34))
MINIMAX: Boss=(16, 34), Player=(5, 36), Choice=('MOVE', (15, 34))
MINIMAX: Boss=(15, 34), Player=(7, 36), Choice=('MOVE', (14, 34))
MINIMAX: Boss=(14, 34), Player=(5, 36), Choice=('MOVE', (13, 34))
MINIMAX: Boss=(13, 34), Player=(2, 36), Choice=('MOVE', (12, 34))
MINIMAX: Boss=(12, 34), Player=(2, 36), Choice=('MOVE', (11, 34))
MINIMAX: Boss=(11, 34), Player=(2, 36), Choice=('MOVE', (10, 34))
MINIMAX: Boss=(10, 34), Player=(4, 36), Choice=('MOVE', (9, 34))
MINIMAX: Boss=(9, 34), Player=(9, 36), Choice=ATTACK
MINIMAX: Boss=(9, 34), Player=(12, 36), Choice=('MOVE', (10, 34))
MINIMAX: Boss=(10, 34), Player=(8, 36), Choice=('MOVE', (9, 34))
MINIMAX: Boss=(9, 34), Player=(9, 36), Choice=WAIT
MINIMAX: Boss=(9, 34), Player=(13, 36), Choice=('MOVE', (10, 34))
MINIMAX: Boss=(10, 34), Player=(17, 36), Choice=('MOVE', (11, 34))
MINIMAX: Boss=(11, 34), Player=(22, 36), Choice=('MOVE', (12, 34))
MINIMAX: Boss=(12, 34), Player=(23, 36), Choice=('MOVE', (13, 34))
MINIMAX: Boss=(13, 34), Player=(25, 36), Choice=('MOVE', (14, 34))
MINIMAX: Boss=(14, 34), Player=(27, 29), Choice=('MOVE', (15, 34))
MINIMAX: Boss=(15, 34), Player=(30, 24), Choice=('MOVE', (16, 34))
MINIMAX: Boss=(16, 34), Player=(33, 23), Choice=('MOVE', (17, 34))
MINIMAX: Boss=(17, 34), Player=(37, 29), Choice=('MOVE', (18, 34))
MINIMAX: Boss=(18, 34), Player=(39, 29), Choice=('MOVE', (19, 34))
MINIMAX: Boss=(19, 34), Player=(36, 29), Choice=('MOVE', (20, 34))
MINIMAX: Boss=(20, 34), Player=(36, 29), Choice=('MOVE', (21, 34))
MINIMAX: Boss=(21, 34), Player=(39, 29), Choice=('MOVE', (22, 34))
MINIMAX: Boss=(22, 34), Player=(39, 29), Choice=('MOVE', (23, 34))
MINIMAX: Boss=(23, 34), Player=(37, 29), Choice=('MOVE', (24, 34))
MINIMAX: Boss=(24, 34), Player=(41, 29), Choice=('MOVE', (25, 34))
MINIMAX: Boss=(25, 34), Player=(41, 29), Choice=('MOVE', (26, 34))
MINIMAX: Boss=(26, 34), Player=(38, 29), Choice=('MOVE', (27, 34))
MINIMAX: Boss=(27, 34), Player=(38, 29), Choice=('MOVE', (28, 34))
MINIMAX: Boss=(28, 34), Player=(38, 29), Choice=('MOVE', (29, 34))
MINIMAX: Boss=(29, 34), Player=(38, 29), Choice=('MOVE', (30, 33))
MINIMAX: Boss=(30, 33), Player=(38, 29), Choice=('MOVE', (31, 32))
MINIMAX: Boss=(31, 32), Player=(38, 29), Choice=('MOVE', (32, 31))
MINIMAX: Boss=(32, 31), Player=(38, 29), Choice=('MOVE', (33, 30))
MINIMAX: Boss=(33, 30), Player=(37, 29), Choice=('MOVE', (34, 29))
MINIMAX: Boss=(34, 29), Player=(32, 29), Choice=ATTACK
MINIMAX: Boss=(34, 29), Player=(27, 36), Choice=('MOVE', (33, 30))
MINIMAX: Boss=(33, 30), Player=(23, 36), Choice=('MOVE', (32, 30))
MINIMAX: Boss=(32, 30), Player=(24, 36), Choice=('MOVE', (31, 30))
MINIMAX: Boss=(31, 30), Player=(24, 36), Choice=('MOVE', (30, 30))
MINIMAX: Boss=(30, 30), Player=(24, 36), Choice=('MOVE', (29, 31))
MINIMAX: Boss=(29, 31), Player=(24, 26), Choice=('MOVE', (28, 30))
MINIMAX: Boss=(28, 30), Player=(20, 31), Choice=('MOVE', (27, 30))
MINIMAX: Boss=(27, 30), Player=(17, 36), Choice=('MOVE', (26, 30))
MINIMAX: Boss=(26, 30), Player=(17, 29), Choice=('MOVE', (25, 30))
MINIMAX: Boss=(25, 30), Player=(16, 36), Choice=('MOVE', (24, 30))
MINIMAX: Boss=(24, 30), Player=(15, 34), Choice=('MOVE', (23, 30))
MINIMAX: Boss=(23, 30), Player=(18, 36), Choice=WAIT
MINIMAX: Boss=(23, 30), Player=(15, 34), Choice=('MOVE', (22, 30))
MINIMAX: Boss=(22, 30), Player=(18, 36), Choice=('MOVE', (22, 31))
MINIMAX: Boss=(22, 31), Player=(18, 29), Choice=('MOVE', (21, 31))
MINIMAX: Boss=(21, 31), Player=(17, 34), Choice=('MOVE', (20, 31))
